Atomic#,Symbol,ElementName,AtomicWeight,Ka1 ,Intensity,Ka2 ,Intensity,Kb1 ,Intensity,Kb2 ,Intensity,Kb3 ,Intensity,La1 ,Intensity,La2 ,Intensity,Lb1 ,Intensity,Lb2 ,Intensity,Lb3 ,Intensity,Lb4 ,Intensity,Lg1 ,Intensity,Lg2 ,Intensity,Lg3 ,Intensity,Ll,Intensity
46,Pd,Palladium,106.42,21.1771,100,21.0201,50,23.8187,18.2,24.2957,4.4,23.7872,8.2,2.83861,100,2.83325,10,2.99022,44,3.17179,8,3.0706,7,3.0442,4,3.3287,3,3.5522,2,2.66,2,2.5,4.5
47,Ag,Silver,107.86,22.16292,100,21.9903,50,24.9424,18.4,25.4527,4.6,24.9074,8.3,2.98431,100,2.97821,10,3.15094,44,3.34781,11,3.2324,9,3.2028,4,3.51959,3,3.7492,1.5,2.806,2,2.6305,4.5
48,Cd,Cadmium,112.41,23.1736,100,22.9841,50,26.0955,18.7,26.6398,4.8,26.056,8.4,3.13373,100,3.12691,10,3.31657,45,3.52812,12,3.3993,5.4,3.3661,4,3.71686,3,3.9522,1,2.956,2,2.7644,5
49,In,Indium,114.82,24.2097,100,24.002,50,27.2759,19,27.8572,5,27.2332,8.4,3.28694,100,3.27929,10,3.48721,45,3.71381,12.5,3.5713,8,3.5342,4,3.92081,3.5,4.1612,1,3.111,2,2.9018,5
50,Sn,Tin,118.71,25.2713,100,25.044,50,28.486,19.2,29.1053,5.3,28.4392,8,3.44398,100,3.43542,10,3.6628,42,3.90486,14.7,3.7485,9,3.7073,4,4.13112,4,4.3764,2,3.271,2,3.0426,5
51,Sb,Antimony,121.76,26.3591,100,26.1108,50,29.7256,19,30.3844,5,29.6743,9,3.60472,100,3.59532,10,3.84357,50.6,4.10078,15.6,3.9311,11,3.8853,4,4.34779,5,4.5977,2,3.435,2,3.1868,4.5
52,Te,Tellurium,127.6,27.4723,100,27.2017,50,30.9957,19.7,31.6947,5.7,30.9388,8.6,3.76933,100,3.7588,10,4.02958,51.3,4.3017,16.3,4.1192,5.8,4.0684,4,4.5709,5.6,4.8253,2,3.604,2,3.3344,4.5
53,I,Iodine,126.9,28.612,100,28.3172,50,32.2947,20,33.0365,5.9,32.2331,8.7,3.93765,100,3.92604,10,4.22072,51.9,4.5075,17,4.3127,10,4.2566,4,4.8009,5.7,5.0591,3,3.779,2,3.4855,4.5
54,Xe,Xenon,131.29,29.779,100,29.458,50,33.624,20.3,34.4099,6.1,33.5574,8.7,4.1099,100,0,10,0,50,0,17,4.5118,10,4.4501,4,0,6,5.2994,3,3.957,2,3.6399,4.5
55,Cs,Cesium,132.9,30.9728,100,30.6251,50,34.9869,20.5,35.8152,6.3,34.9121,8.8,4.2865,100,4.2722,10,4.6198,49,4.9359,17,4.7167,9,4.6488,4,5.2804,6,5.5462,3.5,4.14,2,3.7976,4
56,Ba,Barium,137.33,32.1936,100,31.8171,50,36.3782,20.8,37.2524,6.5,36.2977,8.9,4.46626,100,4.4509,10,4.82753,50,5.1565,18,4.9272,10,4.8528,4,5.5311,6.5,5.7995,2.6,4.329,2,3.9587,4
57,La,Lanthanum,139.9,33.4418,100,33.0341,50,37.801,21.1,38.7215,6.7,37.7144,8.9,4.65097,100,4.63423,10,5.0421,49,5.3835,18.5,5.1436,9,5.0623,4,5.7885,6.2,6.0595,2.6,4.523,2,4.123,4.5
58,Ce,Cerium,140.12,34.7197,100,34.2789,50,39.2573,21.3,40.2227,6.9,39.1629,9,4.8402,100,4.823,10,5.2622,48,5.6134,19,5.366,10,5.2772,4,6.052,6,6.3262,2.1,4.73,2,4.2906,4
59,Pr,Praseodymium,140.9,36.0263,100,35.5502,50,40.7482,21.6,41.7557,7.1,40.6435,9.1,5.0337,100,5.0135,10,5.4889,52,5.85,22,5.5943,12,5.4977,4,6.3221,5.5,6.5998,1.5,4.934,2,4.4614,3.5
60,Nd,Neodymium,144.24,37.361,100,36.8474,50,42.2713,21.9,43.3204,7.3,42.1568,9.1,5.2304,100,5.2077,10,5.7216,50,6.0894,20,5.8288,10,5.7237,4,6.6021,5.5,6.8802,2,5.144,2,4.6355,3.5
61,Pm,Promethium,145,38.7247,100,38.1712,50,43.826,22.1,44.9165,7.5,43.7033,9.2,5.4325,100,5.4078,10,5.961,48,6.339,18,6.0695,10,5.9555,4,6.892,5.5,7.1678,2,5.363,2,4.8126,4
62,Sm,Samarium,150.36,40.1181,100,39.5224,50,45.413,22.4,46.5438,7.7,45.2836,9.2,5.6361,100,5.609,10,6.2051,46,6.586,17,6.3165,9,6.193,4,7.178,6,7.4625,2.2,5.587,2,4.9929,5
63,Eu,Europium,151.97,41.5422,100,40.9019,50,47.0379,22.7,48.2018,7.9,46.8984,9.3,5.8457,100,5.8166,10,6.4564,45,6.8432,17,6.57,10,6.4364,4,7.4803,6,7.7645,2,5.815,2,5.1763,4.5
64,Gd,Gadolinium,157.25,42.9962,100,42.3089,50,48.697,22.9,49.8898,8.1,48.5483,9.4,6.0572,100,6.025,10,6.7132,44.5,7.1028,18,6.8299,10,6.6857,4,7.7858,6,8.0738,2,6.048,2,5.3627,4.5
65,Tb,Terbium,158.92,44.4816,100,43.7441,50,50.382,23.2,51.6074,8.3,50.2341,9.4,6.2728,100,6.238,10,6.978,45,7.3667,17,7.0965,10,6.941,4,8.102,6,8.3908,2,6.282,2,5.5521,4.5
66,Dy,Dysprosium,162.5,45.9984,100,45.2078,50,52.119,23.5,53.3536,8.5,51.9565,9.5,6.4952,100,6.4577,10,7.2477,42,7.6357,17,7.3699,10,7.2023,7,8.4188,5.8,8.7153,2,6.532,2,5.7445,4.5
67,Ho,Holmium,164.93,47.5467,100,46.6997,50,53.877,23.7,55.1278,8.7,53.7164,9.6,6.7198,100,6.6795,10,7.5253,43,7.911,17,7.6502,9,7.4699,4,8.747,5.8,9.0477,2,6.786,2,5.9398,4.5
68,Er,Erbium,167.26,49.1277,100,48.2211,50,55.681,24,56.9286,8.9,55.5145,9.6,6.9487,100,6.905,10,7.8109,42,8.189,17,7.9375,8,7.7437,4,9.089,5.8,9.3881,2,7.056,2,6.1379,4.5
69,Tm,Thulium,168.93,50.7416,100,49.7726,50,57.517,24.3,58.7551,9.1,57.3519,9.7,7.1799,100,7.1331,10,8.101,44.5,8.468,19.5,8.232,9,8.0239,4,9.426,7,9.7366,2.4,7.307,2,6.3389,5
70,Yb,Ytterbium,173.04,52.3889,100,51.354,50,59.37,24.5,60.6059,9.3,59.2294,9.7,7.4156,100,7.3673,10,8.4018,41,8.7588,17,8.5337,6.7,8.3106,4,9.7801,5.5,10.0933,2,7.578,2,6.5427,5.5
