


^Actinium,89,3,VI,1.26, 1.12, R
^Oxygen,8,-1,II,1.18, 1.32, 
^Oxygen,8,-1,III,1.2, 1.34, 
^Oxygen,8,-1,IV,1.21, 1.35, E
^Oxygen,8,-1,VI,1.23, 1.37, E






^Palladium,46,1,II,0.73, 0.59, 
^Palladium,46,2,IVSQ,0.78, 0.64, 
^Palladium,46,2,VI,1, 0.86, 
^Palladium,46,3,VI,0.9, 0.76, 
^Palladium,46,4,VI,0.755, 0.615, R






^Phosphorus,15,3,VI,0.58, 0.44, A
^Phosphorus,15,5,IV,0.31, 0.17, *
^Phosphorus,15,5,V,0.43, 0.29, 
^Phosphorus,15,5,VI,0.52, 0.38, C






^Platinum,78,2,IVSQ,0.74, 0.6, 
^Platinum,78,2,VI,0.94, 0.8, A
^Platinum,78,4,VI,0.765, 0.625, R
^Platinum,78,5,VI,0.71, 0.57, ER






^Plutonium,94,3,VI,1.14, 1, R
^Plutonium,94,4,VI,1, 0.86, R
^Plutonium,94,4,VIII,1.1, 0.96, 
^Plutonium,94,5,VI,0.88, 0.74, E
^Plutonium,94,6,VI,0.85, 0.71, R






^Polonium,84,4,VI,1.08, 0.94, R
^Polonium,84,4,VIII,1.22, 1.08, R
^Polonium,84,6,VI,0.81, 0.67, A






^Potassium,19,1,IV,1.51, 1.37, 
^Potassium,19,1,VI,1.52, 1.38, 
^Potassium,19,1,VII,1.6, 1.46, 
^Potassium,19,1,VIII,1.65, 1.51, 
^Potassium,19,1,IX,1.69, 1.55, 
^Potassium,19,1,X,1.73, 1.59, 
^Potassium,19,1,XII,1.78, 1.64, 






^Praseodymium,59,3,VI,1.13, 0.99, R
^Praseodymium,59,3,VIII,1.266, 1.126, R
^Praseodymium,59,3,IX,1.319, 1.179, R
^Praseodymium,59,4,VI,0.99, 0.85, R
^Praseodymium,59,4,VIII,1.1, 0.96, R






^Promethium,61,3,VI,1.11, 0.97, R
^Promethium,61,3,VIII,1.233, 1.093, R
^Promethium,61,3,IX,1.284, 1.144, R






^Protactinium,91,3,VI,1.18, 1.04, E
^Protactinium,91,4,VI,1.04, 0.9, R
^Protactinium,91,4,VIII,1.15, 1.01, 
^Protactinium,91,5,VI,0.92, 0.78, 
^Protactinium,91,5,VIII,1.05, 0.91, 
^Protactinium,91,5,IX,1.09, 0.95, 






^Radium,88,2,VIII,1.62, 1.48, R
^Radium,88,2,XII,1.84, 1.7, R












^Rhenium,75,4,Vi,0.77, 0.63, RM
^Rhenium,75,5,VI,0.72, 0.58, E
^Rhenium,75,6,VI,0.69, 0.55, E
^Rhenium,75,7,IV,0.52, 0.38, 
^Rhenium,75,7,VI,0.67, 0.53, 






^Rhodium,45,3,VI,0.805, 0.665, R
